星期,開始時間,結束時間,課程名稱,師資名稱,師資國籍,教學語系,分類,級別,異動類型,異動老師,異動日期
四,11:00,12:00,瑜伽輪,JAI,印,,瑜伽輪,初,,,
四,12:15,13:15,瑜伽基礎,Ingrid,,,伸展,初,,,
四,12:30,13:30,陰陽瑜伽,JAI,印,EN,伸展,初,,,
四,13:45,15:00,壁繩瑜伽,Ingrid,,,肌耐力/核心/快節奏,中,,,
四,13:45,14:45,熱伸展,Nora,,,熱課程,初,,,
四,14:30,15:45,基礎瑜伽 Fundamental,Jun,,,肌耐力/核心/快節奏,中,暫停,,9/24
四,15:00,16:30,阿斯坦加,Carolyn,,,阿斯坦加,高,,,
四,16:30,17:45,芳療瑜伽,Minthia,,,放鬆,初,代課,Polly,9/24
四,17:45,18:45,哈達瑜伽,Jason,,,肌耐力/核心/快節奏,初,,,
四,18:30,19:30,瑜伽修復,Minthia,,,放鬆,初,代課,Trix,9/24
四,18:45,19:45,頌缽療癒,Christine,,,放鬆,初,代課,Karen,9/3
四,19:15,20:15,哈達瑜伽,Ashish,印,,肌耐力/核心/快節奏,初,,,
四,19:45,20:45,流動,Trix,,,肌耐力/核心/快節奏,中,代課,Michelle,9/3
四,20:00,21:00,放鬆延展,Sasa,,,放鬆,初,代課,Michelle,9/24
四,20:30,21:30,和緩瑜伽,Ashish,印,,伸展,初,,,
五,09:30,10:30,流動,Wendy,,,肌耐力/核心/快節奏,中,暫停,,9/25
五,11:00,12:00,瑜伽輪,Nora,,,瑜伽輪,初,,,
五,11:30,12:30,哈達基礎,Una,,,肌耐力/核心/快節奏,初,,,
五,12:15,13:15,筋膜瑜伽,Trix,,,按摩,初,,,
五,12:45,13:45,瑜伽提斯 Yoga Tone,Una,,,肌耐力/核心/快節奏,初,,,
五,14:00,15:15,流動,Camilla,,,高難度,高,,,
五,15:15,16:15,瑜伽伸展,Ashish,印,,伸展,初,,,
五,15:30,16:30,陰瑜伽,Camilla,,,陰瑜伽,初,,,
五,16:30,17:45,豪宇入門,Kanova,,,豪宇系列,初,代課,錦潭,9/11
五,18:00,19:00,肌筋膜按摩,Joe,,,按摩,初,代課;暫停,Michelle;,9/4;9/25
五,18:30,19:30,熱伸展,Roushan,印,,熱課程,初,暫停,,9/25
五,18:45,19:45,哈達瑜伽,Sasa,,,肌耐力/核心/快節奏,中,暫停,,9/25
五,19:15,20:15,瑜伽輪,JAI,印,,瑜伽輪,初,暫停,,9/25
五,19:45,20:45,熱和緩,Jen,,,熱課程,初,暫停,,9/25
五,20:00,21:00,瑜伽舒眠,Sasa,,,放鬆,初,暫停,,9/25
五,20:30,21:30,筋膜舒壓伸展,Jessica,,,按摩,初,暫停,,9/25
六,09:30,10:30,芳療瑜伽,Lindsey,,,放鬆,初,暫停,,9/26
六,10:45,11:45,頌缽療癒,Christine,,,放鬆,初,代課,Savina,9/12
六,11:00,12:00,熱伸展,Claire,,,熱課程,初,,,
六,12:15,13:15,溫和緩,Maggie,,,熱課程,初,暫停,Elan,9/5
六,12:45,13:45,墊上＿皮拉提斯,Sasa.L,,,肌耐力/核心/快節奏,初,,,
六,14:00,15:00,尼古瑪瑜伽,Polly,,,伸展,初,,,
六,14:30,15:30,瑜伽伸展,Dora,,,肌耐力/核心/快節奏,初,代課,丁丁,9/5
六,15:15,16:15,瑜伽療法,Roushan,印,EN,伸展,初,,,
六,16:00,17:00,流動,Dora,,,高難度,高,代課,丁丁,9/5
六,16:45,17:45,瑜伽輪,JAI,印,,瑜伽輪,初,,,
六,17:45,19:15,哈達瑜伽,Stella,,,高難度,高,暫停,,9/5、9/26
六,18:30,19:30,熱哈達,Roushan,印,EN,熱課程,初,暫停,,9/26
日,09:45,10:45,哈達瑜伽,Jason,,,肌耐力/核心/快節奏,初,暫停,,9/27
日,11:00,12:00,和緩瑜伽,Jason,,,伸展,初,,,
日,11:00,12:00,筋膜瑜伽,Jessica,,,放鬆,初,暫停,,9/27
日,12:15,13:45,火箭瑜伽,丁丁,,,高難度,高,暫停,,9/20
日,12:30,13:30,溫基礎,Claire,,,熱課程,初,,,
日,12:45,13:45,肌筋膜按摩,吳柏樵,,,按摩,初,,,
日,14:00,15:00,伸展瑜伽,Derek,,,肌耐力/核心/快節奏,初,代課,丁丁,9/6
日,14:00,15:00,原力核心,吳柏樵,,,伸展,初,,,
日,15:15,16:15,輔具瑜伽,Ingrid,,,伸展,中,,,
日,16:30,17:30,熱和緩,Ingrid,,,熱課程,初,,,
日,16:30,18:00,豪宇瑜伽,錦潭,,,豪宇系列,高,,,
日,18:00,19:00,壁繩瑜伽,Ingrid,,,付費課,初,暫停,,9/27
日,18:30,19:30,伸展瑜伽,Lindsey,,,伸展,初,暫停,,9/27
